No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
1,มิถุนายน,2565,สายสีเขียว (สายสุขุมวิท),3,41,88,2,1,0,0,0,0,0,0,0,0
2,มิถุนายน,2565,สายสีเขียว (สายสีลม),1,37,104,0,0,0,0,0,1,0,0,0,0
3,มิถุนายน,2565,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
4,มิถุนายน,2565,สายสีน้ำเงิน ,6,19,19,2,1,3,0,0,0,0,0,0,0
5,มิถุนายน,2565,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
6,มิถุนายน,2565,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),4,55,43,2,1,1,0,0,0,0,0,0,0
7,มิถุนายน,2565,สายสีแดงเหนือ,4,19,135,4,0,0,0,0,0,0,0,0,0
8,มิถุนายน,2565,สายสีแดงตะวันตก,1,18,101,0,0,1,0,0,0,0,0,0,0
9,กรกฎาคม,2565,สายสีเขียว (สายสุขุมวิท),2,27,22,1,1,0,0,0,0,0,0,0,0
10,กรกฎาคม,2565,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
11,กรกฎาคม,2565,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
12,กรกฎาคม,2565,สายสีน้ำเงิน ,7,23,23,4,1,2,0,0,0,0,0,0,0
13,กรกฎาคม,2565,สายสีม่วง,1,25,129,0,0,0,1,0,0,0,0,0,0
14,กรกฎาคม,2565,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),6,110,441,1,2,1,0,0,1,0,0,0,1
15,กรกฎาคม,2565,สายสีแดงเหนือ,1,10,7200,0,0,0,0,0,0,0,0,1,0
16,กรกฎาคม,2565,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
17,สิงหาคม,2565,สายสีเขียว (สายสุขุมวิท),2,19,60,1,0,1,0,0,0,0,0,0,0
18,สิงหาคม,2565,สายสีเขียว (สายสีลม),1,7,7,1,0,0,0,0,0,0,0,0,0
19,สิงหาคม,2565,สายสีทอง,1,15,11,0,0,0,0,0,0,0,1,0,0
20,สิงหาคม,2565,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
21,สิงหาคม,2565,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
22,สิงหาคม,2565,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),4,39,173,2,1,0,1,0,0,0,0,0,0
23,สิงหาคม,2565,สายสีแดงเหนือ,4,47,2976,0,0,1,2,0,0,1,0,0,0
24,สิงหาคม,2565,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
